nom,Lita,Nizi,Bambu,Nyakunde,Tchomia,Komanda,Damas,Drodro,Gethy,Fataki,Logo,Rimba,Mahagi,Beni,Katwa,Mambasa,Butembo,Oicha,Watsa,Boga,Aru,Mandima,Lolwa,Kalunguta,Kambala,Nyarambe,Biringi,Musienene,Nia-Nia,Makiso-Kisangani,Aungba,Isiro,Ariwara,Gombari,Makoro,Angumu,Kyondo,Rethy,Kabondo,Masereka,Bafwasende,Wanierukula,Mutwanga,Goma,Mabalako,Wamba,Dungu,Karisimbi,Nsele,Gombe,Nyiragongo,Tshopo,Limete,Lubero,Kayna,Mangobo,Lingwala,Lubunga (Tshopo),Binza Ozone,Kokolo,Kasa-Vubu,Kinshasa,Kalamu I,Kintambo,Lemba,Masina I,Katana,Bandalungwa,Laybo,Masina II,Kikimi,Ibanda,Barumbu,Matete,Adi,Binza Meteo,Ndjili,Selembao,Kadutu,Kingabwa,Ngiri-Ngiri,Mont Ngafula I,Pawa,Mont Ngafula II,Police,Kingasani,Rungu,Kabare,Maluku I,Alimbongo,Faradje,Walikale,Lubutu,Aba,Kalamu II,Makala,Lubumbashi,Buta,Bafwagbogbo,Banalia,Nyemba,Niangara,Ngaba,Mumbunda,Bumbu,Kamango,Tshamilemba,Kisenso,Uvira,Kindu,Isangi,Manguredjipa,Kalemie,Basoko,Biena,Kalehe,Kipushi,Yamaluka,Adja,Kimbanseke,Bambo,Maluku II,Biyela,Ruzizi,Bengamisa,Poko,Nyantende,Manika,Mbandaka,Lisala
Bunia,11.0,9.97,6.45,3.45,4.57,1.76,1.87,1.32,1.61,0.51,0.48,0.36,0.46,0.34,0.41,0.44,0.35,0.25,0.27,0.22,0.24,0.25,0.23,0.15,0.15,0.21,0.17,0.14,0.15,0.17,0.1,0.09,0.13,0.13,0.09,0.13,0.07,0.09,0.1,0.04,0.05,0.05,0.04,0.06,0.05,0.05,0.05,0.05,0.04,0.07,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongbalu,11.0,9.97,6.45,3.45,4.57,1.76,1.87,1.32,1.61,0.51,0.48,0.36,0.46,0.34,0.41,0.44,0.35,0.25,0.27,0.22,0.24,0.25,0.23,0.15,0.15,0.21,0.17,0.14,0.15,0.17,0.1,0.09,0.13,0.13,0.09,0.13,0.07,0.09,0.1,0.04,0.05,0.05,0.04,0.06,0.05,0.05,0.05,0.05,0.04,0.07,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwampara,11.0,9.97,6.45,3.45,4.57,1.76,1.87,1.32,1.61,0.51,0.48,0.36,0.46,0.34,0.41,0.44,0.35,0.25,0.27,0.22,0.24,0.25,0.23,0.15,0.15,0.21,0.17,0.14,0.15,0.17,0.1,0.09,0.13,0.13,0.09,0.13,0.07,0.09,0.1,0.04,0.05,0.05,0.04,0.06,0.05,0.05,0.05,0.05,0.04,0.07,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
